Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
NPUA80472	US	LittleBigPlanet	https://nopaystation.com/get/PS3/NPUA80472/GLITTLEBIG000001/1.27/pkg?version=1	MISSING	UP9000-NPUA80472_00-GLITTLEBIG000001			2137548240	
NPJB00831	JP	少女とドラゴン -幻獣契約クリプトラクト-	https://nopaystation.com/get/pending/PS3/NPJB00831/0000000000000001/1/pkg?version=1.01	MISSING	JP1070-NPJB00831_00-0000000000000001			8775440	
NPJB00837	JP	英雄伝説 暁の軌跡	http://ares.dl.playstation.net/cdn/JP0223/NPJB00837_00/JP0223-NPJB00837_00-0000000000000001_bg_1_4ff385b3470d1f0714f35282d67058dbedd1c8c0.pkg?product=0084&country=jp	MISSING	JP0223-NPJB00837_00-0000000000000001			8169952	
NPEB01947	EU	EA SPORTS 2014 FIFA World Cup Brazil	https://nopaystation.com/view/PS3/NPEB01947/FIFAWORLDCUP2014/1/pkg?version=1.01	MISSING	EP0006-NPEB01947_00-FIFAWORLDCUP2014			7045385680	
BCET70048	EU	LittleBigPlanet™ Karting Beta Trial	http://zeus.dl.playstation.net/cdn/EP9000/BCET70048_00/BlhndtsOLZYIbYpkeGtmOvyiDnsZdPguarZGAdtuzGrlmwquEZqUaxQFbaSNXhdB.pkg	e13643d77a7812c8ef9e19f4ec0f2476	EP9000-BCET70048_00-GBETALITTL000001			3675708912	
BLET70016	EU	BATTLEFIELD 3 Open Beta	http://zeus.dl.playstation.net/cdn/EP0006/BLET70016_00/RKLDpbPqssvdMNGMdhHBnMtSgqGpytPYDUXXfZSKxIeiDtjpJxzaBAtjOKLbbMPo.pkg	MISSING	EP0006-BLET70016_00-BF3OPENBETA00000			1229792304	
NPEB02460	EU	PRO EVOLUTION SOCCER 2018 LITE	http://zeus.dl.playstation.net/cdn/EP0101/NPEB02460_00/EP0101-NPEB02460_00-PES2018F2P000000_bg_1_0121bb2a9d3cc9c3e21f545d6ca12e4465cfc1b2.pkg	MISSING	EP0101-NPEB02460_00-PES2018F2P000000			9487755888	
NPJA00040	JP	アドホック・パーティー	http://ares.dl.playstation.net/cdn/JP9002/NPJA00040_00/MpwXYLAQGwGDOQddaBtpFbYkPeWmaclJDjMWNArAZeZcTMRPrdaewuyrsDFEtDoZTfDKbXoffPFLNYUtPXGZBWZDphFJstgHParvO.pkg?product=0084&country=jp	MISSING	JP9002-NPJA00040_00-ADHOCPARTY000000			116607056	
NPUB31292	US	Ultra Street Fighter IV	http://zeus.dl.playstation.net/cdn/UP0102/NPUB31292_00/nzTTqiXVIEPoNDRPJdHqGuEpsSFmtFEUVGvjbZlrepdVguNvzocQYrIPMKgXwFAG.pkg	MISSING	UP0102-NPUB31292_00-USFIV00DIGITAL00			19491846160	
NPJB00773	JP	Amazonビデオ	http://ares.dl.playstation.net/cdn/JA0011/NPJB00773_00/JA0011-NPJB00773_00-AMAZONVIDEOJAPAN_bg_3_26ace174c25113558fa01baf0fde7efb55583b87.pkg?product=0084&country=jp	MISSING	JA0011-NPJB00773_00-AMAZONVIDEOJAPAN			19876128	
