Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
NPUB31234	US	Dynasty Warriors 8 - BASE THEME 5	http://zeus.dl.playstation.net/cdn/UP4108/NPUB31234_00/vVyFnhmcZjEcVCDaEuODjVdbeGlYfaPQbycsLIDDKmAOyPNMOsUGRHnLZIcDYfAb.pkg	82285de61ed1395b59febb56e0632e1f	UP4108-NPUB31234_00-DW8BASETHEME0004			57908096	
NPUB31234	US	Dynasty Warriors 8 - BASE THEME 4	http://zeus.dl.playstation.net/cdn/UP4108/NPUB31234_00/gtkuYkTjuXamHjXSLAfXIXsSiLJoDwLqPPHLvGZpWSvKPgxzIowjgDrgXdkpLrhj.pkg	ad124dc4c9918dcf40017c80747a9fbd	UP4108-NPUB31234_00-DW8BASETHEME0003			55028944	
NPUB31234	US	Dynasty Warriors 8 - BASE THEME 1	http://zeus.dl.playstation.net/cdn/UP4108/NPUB31234_00/kmKVAqsvmUcocNiPWJQkqkfuVbhHXTjYyWbNiRSjZHZAgfazTTcNwRKAiHWhOcTO.pkg	ab6e5961d6968623b512d43f797c4294	UP4108-NPUB31234_00-DW8BASETHEME0000			49285104	
NPUB31234	US	Dynasty Warriors 8 - BASE THEME 2	http://zeus.dl.playstation.net/cdn/UP4108/NPUB31234_00/PheRDBPAEyrqvIDsIWgppvcXmViPdCbLuVAwyGNxtZcEIZpponVKBPsXDhpZWpVs.pkg	201df71e2a67f524ea86dd13c7b6bb4d	UP4108-NPUB31234_00-DW8BASETHEME0001			42345376	
NPEP00297	EU	Call of Duty: Black Ops III - DLC1 Awakening Theme	http://zeus.dl.playstation.net/cdn/EP0002/NPEP00297_00/OoszzoTArfEdQrToXSHmsqutuhcCRynkXJWtzKzmOFTaBGEXWrBVmmVgGDlpOLnA.pkg	MISSING	EP0002-NPEP00297_00-BLACKOPS3PAK1THM			11210208	
NPUB30672	US	Guacamelee! - Juan's House Dynamic Theme	http://zeus.dl.playstation.net/cdn/UP2045/NPUB30672_00/QrGMAvYiWdgJOayeFTRhzAVeVImsinKkeyYuzYjDZzjfVfahzVjMGCREQDEcjVMj.pkg	c50e81ac46ef96bccc10027398cbd0e8	UP2045-NPUB30672_00-GUACAMELEE00DT01			2903312	
NPUB31497	US	The Treasures of Montezuma 테마	http://ares.dl.playstation.net/cdn/UP4235/NPUB31497_00/UP4235-NPUB31497_00-THEMEPS3UX000135_bg_1_79fbe768e56f9bf04f4531522dd6d3a20278123e.pkg	defa	UP4235-NPUB31497_00-THEMEPS3UX000135			7583264	
BLUS31150	US	Hyperdimension Neptunia Victory Custom Theme	http://ares.dl.playstation.net/cdn/UP1063/BLUS31150_00/iDqumfcquxYZQYKXszlXeuJGGGgeVlCYQvflHcuyZmOMynfudWpfktOYBffGfiDg.pkg	defa	UP1063-BLUS31150_00-THEMEPS3UX000026			4541472	
NPUA80358	US	Dead Nation™ City of the Dead Theme	http://ares.dl.playstation.net/cdn/UP9000/NPUA80358_00/cs1dM26CYIswsMhbl3BVsVHgW0mmq99SGI3FnaPFs4DRs0Nvf0AjfrnkIXtNs2IusKjXUGfrBgpAxWYJKwUfmNQ5f7Qlyoxilswyp.pkg	defa	UP9000-NPUA80358_00-DEADDYNAMICTHEME			6665440	
BLUS31397	US	Tales of Xillia®2 Strategy Guide Theme	http://zeus.dl.playstation.net/cdn/UP0700/BLUS31397_00/YIABFFkAsXenYHELJrVnAaIePoUnxGXFzeAGlxHafOdoitSnxKnbUNAQrTPNGukX.pkg	MISSING	UP0700-BLUS31397_00-TX2STRATEGYGUIDE			2762032	
BCUS98227	US	Puppeteer™ Theatrical Pack Dynamic Theme	http://zeus.dl.playstation.net/cdn/UP9000/BCUS98227_00/ublkVxgKMUMMYYbDFcgTehXHPcOvaIxzyfeevZahdkzmeyTkJqQPUvFjxgDfnmco.pkg	MISSING	UP9000-BCUS98227_00-CUSTOMTHEME00001			9452160	
BLJM60492	JP	UNKNOWN TITLE	http://ares.dl.playstation.net/cdn/JP0031/BLJM60492_00/rSRqBNfLBPQEsIOASUhgmIwEPZfSHVYPOwQmRQClyAPtpBsBruiXQemCBbXlrcMyhzMdYgcPDyZzZWfFiBiOtpuZabJhkdVBIafyP.pkg?product=0088&country=jp	defa	JP0031-BLJM60492_00-THEME00000000001			3413648	
NPEP00220	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0700/NPEP00220_00/dFOpXzFKNPLcMUgYiTrlTRjNSBQRxTPzrkmjGHnzGTJesZxExqMflwLgRXJZnWAS.pkg	MISSING	EP0700-NPEP00220_00-A003X00000000000			1096832	
NPHO00139	ASIA	The Last of Us™ Theme	http://ares.dl.playstation.net/cdn/HP9000/NPHO00139_00/YyzuZkPKIbmbTvQUuNeOwYKAojTNZzglklvjPxbPBXXDFVWZguPlkbvLRKXUKLCZuwDcunvYxsUtAQPittXFdOLZIwUwkZenNVWwJ.pkg	defa	HP9000-NPHO00139_00-LASTOFUSSTATIC01			2188080	
BLJS10095	JP	魔界戰記 DISGAEA 4 主題 08	http://ares.dl.playstation.net/cdn/JP0404/BLJS10095_00/PSaGYQOFAzSnaSssuMWutMqvKCcwqCpttxkPZbwDpLEoujJwMgQKuZDXfXseLmvaCiddnchAvmpEYanyERrDODHoJSGPdzlrdirTS.pkg	defa	JP0404-BLJS10095_00-DISGAEA400000070			2095056	
NPHP00017	ASIA	PixelJunk™ Eden 테마 B(PS3™용)	http://zeus.dl.playstation.net/cdn/HP0743/NPHP00017_00/cnqV2a3N2shawJjVyrnOFs2bqlFmeeVSXKtApVMKIsjqx8RRmn68bbYbWOaxtU8XhgJrwxnxhdgRVpxYaVdc1XhN7urblmwb5SPEI.pkg	defa	HP0743-NPHP00017_00-0000000000THEME2			1041984	
NPHP00017	ASIA	PixelJunk™ Eden 테마 A(PS3™용)	http://zeus.dl.playstation.net/cdn/HP0743/NPHP00017_00/fSjd86ItmX0ey3YaxMJAg4FfqifkojnX3wGTTwAtfn9dGgPvGwlkvjes0QriLgcRklt2bVqVd058jxKiIw4GWwml2oDR3IIGonUGl.pkg	defa	HP0743-NPHP00017_00-0000000000THEME1			1077872	
NPHB00522	ASIA	E.X.TROOPERS 自定義主題	http://ares.dl.playstation.net/cdn/HP0102/NPHB00522_00/ohxWVyMjXDXFteqFRpnJwsnZtkDqjvbFADBbXIqGAhgAdJXYMoWISrUIueZvHURJqBRrzrsqWpamhqckiMNcsuYBblhHTIVlGycYW.pkg	defa	HP0102-NPHB00522_00-EXTROOPERSTHEME0			5078144	
NPHP00021	ASIA	Fallout® 3 Brotherhood of Steel 主題	http://zeus.dl.playstation.net/cdn/HP1003/NPHP00021_00/jwTRvgC3cDfhk3pnmpF99hSFGQlP7eMrWSjFWsWOpvpxMYVtbb1VWnnINS4aOUuXJNrLB5PpJ1dc0eYLqBBHLvOuiptcBC5q2Pr4E.pkg	defa	HP1003-NPHP00021_00-FALLOUT3TBOSASIA			1559088	
